TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
310.15,53.1365,73.582,1.38641,-287618.0,365.907,0.000639919,0.12
311.15,53.1178,73.5833,1.3568,-287544.0,365.907,0.000641122,0.12
312.15,53.0987,73.5849,1.32808,-287471.0,365.907,0.000642312,0.12
313.15,53.0792,73.5869,1.30023,-287397.0,365.907,0.000643489,0.12
314.15,53.0594,73.5892,1.2732,-287324.0,365.907,0.000644654,0.12
315.15,53.0392,73.5919,1.24697,-287250.0,365.907,0.000645806,0.12
316.15,53.0186,73.5949,1.22151,-287176.0,365.907,0.000646946,0.12
317.15,52.9976,73.5982,1.1968,-287103.0,365.907,0.000648074,0.12
318.15,52.9763,73.6019,1.17279,-287029.0,365.907,0.000649189,0.12
319.15,52.9547,73.6058,1.14948,-286956.0,365.907,0.000650292,0.12
320.15,52.9327,73.61,1.12684,-286882.0,365.907,0.000651383,0.12
321.15,52.9104,73.6145,1.10483,-286808.0,365.907,0.000652461,0.12
322.15,52.8877,73.6192,1.08345,-286735.0,365.907,0.000653527,0.12
323.15,52.8647,73.6242,1.06267,-286661.0,365.907,0.000654581,0.12
324.15,52.8413,73.6294,1.04246,-286588.0,365.907,0.000655622,0.12
325.15,52.8177,73.6349,1.02281,-286514.0,365.907,0.000656651,0.12
326.15,52.7937,73.6407,1.00371,-286440.0,365.907,0.000657668,0.12
327.15,52.7694,73.6467,0.985123,-286367.0,365.907,0.000658673,0.12
328.15,52.7448,73.6529,0.967043,-286293.0,365.907,0.000659666,0.12
329.15,52.7198,73.6594,0.949449,-286219.0,365.907,0.000660647,0.12
330.15,52.6946,73.6662,0.932327,-286146.0,365.907,0.000661615,0.12
331.15,52.669,73.6732,0.915661,-286072.0,365.907,0.000662571,0.12
332.15,52.6432,73.6804,0.899436,-285998.0,365.907,0.000663516,0.12
333.15,52.617,73.6879,0.883637,-285925.0,365.907,0.000664448,0.12
334.15,52.5905,73.6956,0.868251,-285851.0,365.907,0.000665368,0.12
335.15,52.5638,73.7036,0.853264,-285777.0,365.907,0.000666276,0.12
336.15,52.5368,73.7119,0.838664,-285704.0,365.907,0.000667173,0.12
337.15,52.5094,73.7204,0.824438,-285630.0,365.907,0.000668057,0.12
338.15,52.4818,73.7291,0.810575,-285556.0,365.907,0.000668929,0.12
339.15,52.4539,73.7382,0.797063,-285482.0,365.907,0.00066979,0.12
340.15,52.4257,73.7475,0.78389,-285409.0,365.907,0.000670638,0.12
341.15,52.3973,73.7571,0.771048,-285335.0,365.907,0.000671475,0.12
342.15,52.3686,73.7669,0.758525,-285261.0,365.907,0.000672299,0.12
343.15,52.3395,73.7771,0.746311,-285187.0,365.907,0.000673112,0.12
344.15,52.3103,73.7875,0.734397,-285114.0,365.907,0.000673913,0.12
345.15,52.2807,73.7982,0.722775,-285040.0,365.907,0.000674703,0.12
346.15,52.2509,73.8093,0.711434,-284966.0,365.907,0.00067548,0.12
347.15,52.2208,73.8206,0.700368,-284892.0,365.907,0.000676246,0.12
348.15,52.1905,73.8322,0.689566,-284818.0,365.907,0.000677,0.12
349.15,52.1599,73.8441,0.679022,-284744.0,365.907,0.000677742,0.12
350.15,52.1291,73.8564,0.668728,-284671.0,365.907,0.000678472,0.12
351.15,52.098,73.869,0.658677,-284597.0,365.907,0.000679191,0.12
352.15,52.0666,73.8819,0.648861,-284523.0,365.907,0.000679898,0.12
353.15,52.035,73.8952,0.639274,-284449.0,365.907,0.000680593,0.12
354.15,52.0031,73.9088,0.629909,-284375.0,365.907,0.000681277,0.12
355.15,51.971,73.9228,0.62076,-284301.0,365.907,0.000681949,0.12
356.15,51.9386,73.9371,0.61182,-284227.0,365.907,0.00068261,0.12
357.15,51.906,73.9517,0.603083,-284153.0,365.907,0.000683258,0.12
358.15,51.8732,73.9668,0.594544,-284079.0,365.907,0.000683896,0.12
359.15,51.8401,73.9822,0.586197,-284005.0,365.907,0.000684521,0.12
360.15,51.8068,73.998,0.578037,-283931.0,365.907,0.000685136,0.12
361.15,51.7732,74.0141,0.570059,-283857.0,365.907,0.000685738,0.12
362.15,51.7394,74.0307,0.562257,-283783.0,365.907,0.000686329,0.12
363.15,51.7054,74.0476,0.554626,-283709.0,365.907,0.000686909,0.12
364.15,51.6711,74.065,0.547162,-283635.0,365.907,0.000687477,0.12
365.15,51.6366,74.1205,0.539861,-283561.0,365.907,0.000688034,0.12
366.15,51.2229,73.8013,0.600956,-284080.0,366.15,0.000691745,0.12
367.15,49.7273,72.465,0.959606,-286381.0,367.15,0.000704298,0.12
368.15,48.3743,71.1854,1.49767,-288585.0,368.15,0.000715424,0.12
369.15,47.1452,69.9597,2.28726,-290695.0,369.15,0.000725348,0.12
370.15,46.0244,68.7855,3.42182,-292717.0,370.15,0.000734252,0.12
371.15,44.9989,67.6602,5.01985,-294655.0,371.15,0.000742284,0.12
372.15,44.0575,66.5817,7.22831,-296512.0,372.15,0.000749561,0.12
373.15,43.1908,65.5476,10.2257,-298292.0,373.15,0.000756184,0.12
374.15,42.3908,64.556,14.2246,-299999.0,374.15,0.000762234,0.12
375.15,41.6505,63.6049,19.473,-301635.0,375.15,0.000767781,0.12
